timestamp,latitude,longitude
0,23.0039583,72.6222615
1,23.003964293428307,72.62226825562128
2,23.003970588805384,72.62228996288998
3,23.003975120498634,72.62229585565737
4,23.003983278924263,72.62231076256994
5,23.00398733997549,72.62232364561034
6,23.003991413140106,72.62232745404255
7,23.00399689706465,72.62231823452035
8,23.003998447228984,72.62232117393259
9,23.004001421566745,72.62233200215859
10,23.004004605518595,72.62232729142528
11,23.004012536816134,72.62233325943858
12,23.004017671872543,72.6223284367049
13,23.004021583107093,72.6223374350082
14,23.00402428111994,72.62234881629037
15,23.00402807984256,72.62235419104663
16,23.004031876429334,72.62237886155029
17,23.004036849434886,72.62237734215192
18,23.004043494524712,72.62237435455907
19,23.004048912251903,72.62236471752796
20,23.004051255879805,72.62237448927908
21,23.004057732812964,72.62238403159361
22,23.004062501516398,72.62238932166035
23,23.004064544472417,72.62239084306248
24,23.004068623194875,72.62240835716251
25,23.004074310431456,72.62240048980111
26,23.004079958599394,72.62240502406058
27,23.004083604755394,72.62241852914718
28,23.00409066675444,72.62243491066826
29,23.004093988319394,72.62244012775687
30,23.004099650846257,72.62245690766302
31,23.004103692497782,72.62246323673223
32,23.004106479827833,72.62246047087261
33,23.004113104879476,72.62248067703287
34,23.004117960859233,72.62249770882894
35,23.004123684131283,72.62249990275116
36,23.004129406922495,72.62252174508026
37,23.004134335270418,72.62254382687317
38,23.00413409578021,72.62255922399571
39,23.004139269874347,72.62256453292956
40,23.0041444533959,72.62255464480933
41,23.004149014052125,72.62256585882247
42,23.004156969840214,72.62256919439051
43,23.004160352853006,72.62257267857711
44,23.00416718365724,72.6225836373371
45,23.004171124136835,72.622596256744
46,23.004176318291933,72.62261297454891
47,23.004179914185745,72.62261802558959
48,23.00418412996944,72.62261285395506
49,23.004189722209993,72.6226232034525
